"Analyte","SampleID","Spp_Loc","SampleDate","Sex","Weight","Length","Precipitation","value","Media","System","Seasonality","Chain_len","Acronym2"
"11ClPF3OUdS","JBA065-SW-EXIT-040921","exit",2021-04-09,NA,NA,NA,0.37,1.35,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU007-JBA-08132021","pumpkinseed",2021-04-28,"U",9.52,5,NA,0.0604213091447368,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA096-SED-EXIT-07012021","exit",2021-07-01 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU062-JBA-08162021","pumpkinseed",2021-07-16,"U",11.56,8,NA,0.2115,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA083-SW-RIPP-0423-21","ripp",2021-04-23,NA,NA,NA,0,1.3,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU043-JBA-08162021","pumpkinseed",2021-07-16,"U",7.72,8,NA,0.0735,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU053-JBA-08162021","pumpkinseed",2021-07-16,"U",11.85,8,NA,0.0655,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA089-SED-SPILL-06232021","spill",2021-06-23 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA067-SW-SPILL-04132021","spill",2021-04-13,NA,NA,NA,0.04,2.065,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA099-SED-DOWN-07072021","down",2021-07-07 12:00:00,NA,NA,NA,NA,0.195,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","LMB002-JBA-08162021","large mouth bass",2021-07-16,"U",4.15,7,NA,0.4455,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA107-SED-DOWN-07122021","down",2021-07-12 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","MM006-JBA-08162021","margined madtom",2021-07-16,"U",3.74,8,NA,0.25,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA088-SED-EXIT-06162021","exit",2021-06-16 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA089-SW-DOWN-042621","down",2021-04-26,NA,NA,NA,NA,2.125,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU058-JBA-08162021","pumpkinseed",2021-07-16,"U",5.93,6,NA,0.0665,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU011-JBA-08132021","pumpkinseed",2021-04-28,"U",4.75,8,NA,0.0535873011086176,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA085-SED-SPILL-06162021","spill",2021-06-16 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU024-JBA-08132021","pumpkinseed",2021-04-28,"U",19.55,10,NA,0.057,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA110-SED-RIPP-07142021","ripp",2021-07-14 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU004-JBA-08132021","pumpkinseed",2021-04-28,"U",7.52,8,NA,0.0577085156729323,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU057-JBA-08162021","pumpkinseed",2021-07-16,"U",6.3,6,NA,0.07,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU010-JBA-08132021","pumpkinseed",2021-04-28,"U",8.45,9,NA,0.053,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA072-SW-SPILL-041521","spill",2021-04-15,NA,NA,NA,0.34,1.3,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU063-JBA-08162021","pumpkinseed",2021-07-16,"U",16.59,8,NA,0.2215,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","MM004-JBA-08132021","margined madtom",2021-04-28,"U",15.8,12,NA,0.069,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU044-JBA-08162021","pumpkinseed",2021-07-16,"U",8.65,8,NA,0.0675,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU072-JBA-08162021","pumpkinseed",2021-07-16,"U",11.52,9,NA,0.4265,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA092-SED-EXIT-06232021","exit",2021-06-23 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA094-SW-DOWN-042821","down",2021-04-28,NA,NA,NA,0,2.105,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA075-SW-EXIT-041521","exit",2021-04-15,NA,NA,NA,0.34,1.35,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","MM003-JBA-08132021","margined madtom",2021-04-28,"U",1.5,6,NA,0.0675,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA108-SED-EXIT-07122021","exit",2021-07-12 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA085-SW-EXIT-0423-21","exit",2021-04-23,NA,NA,NA,0,1.35,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU055-JBA-08162021","pumpkinseed",2021-07-16,"U",12.21,8,NA,0.0755,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU008-JBA-08132021","pumpkinseed",2021-04-28,"U",16.06,7,NA,0.0602046482423801,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA097-SED-SPILL-07072021","spill",2021-07-07 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA079-SW-DOWN-042221","down",2021-04-22,NA,NA,NA,0.06,2.125,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA077-SW-SPILL-042221","spill",2021-04-22,NA,NA,NA,0.06,2.17,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU025-JBA-08132021","pumpkinseed",2021-04-28,"U",4.35,6,NA,0.054,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU054-JBA-08162021","pumpkinseed",2021-07-16,"U",12.25,8,NA,0.07,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA090-SED-RIPP-06232021","ripp",2021-06-23 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA068-SW-RIPP-04132021","ripp",2021-04-13,NA,NA,NA,0.04,2.085,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA100-SED-EXIT-07072021","exit",2021-07-07 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","MM001-JBA-08132021","margined madtom",2021-04-28,"U",1.35,5,NA,0.05303714520385,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU064-LIV-08162021","pumpkinseed",2021-07-16,"M",55,12,NA,0.321,"liver","AFBC","summer",10,"Other"
"11ClPF3OUdS","MM007-JBA-08162021","margined madtom",2021-07-16,"U",3.22,7,NA,0.2225,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA112-SED-EXIT-07142021","exit",2021-07-14 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA090-SW-EXIT-042621","exit",2021-04-26,NA,NA,NA,NA,2.105,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU059-JBA-08162021","pumpkinseed",2021-07-16,"U",13.89,9,NA,0.0705,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU012-JBA-08132021","pumpkinseed",2021-04-28,"U",10,7,NA,0.0542036199470339,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA105-SED-SPILL-07122021","spill",2021-07-12 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA082-SW-SPILL-0423-21","spill",2021-04-23,NA,NA,NA,0,1.35,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA111-SED-DOWN-07142021","down",2021-07-14 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU005-JBA-08132021","pumpkinseed",2021-04-28,"U",5.73,8,NA,0.057155987331383,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","SM001-JBA-08132021","dace. sp",2021-04-28,"U",5.7,8,NA,0.0554683337719389,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA094-SED-RIPP-07012021","ripp",2021-07-01 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA073-SW-RIPP-041521","ripp",2021-04-15,NA,NA,NA,0.34,1.3,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA080-SW-EXIT-042221","exit",2021-04-22,NA,NA,NA,0.06,2.04,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","MM005-JBA-08162021","margined madtom",2021-07-16,"U",18.59,13,NA,0.2115,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU045-JBA-08162021","pumpkinseed",2021-07-16,"U",21.27,10,NA,0.071,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU073-JBA-08162021","pumpkinseed",2021-07-16,"U",9.23,8,NA,0.4285,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA093-SED-SPILL-07012021","spill",2021-07-01 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA095-SW-EXIT-042821","exit",2021-04-28,NA,NA,NA,0,2.115,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU061-MU-08162021","pumpkinseed",2021-07-16,"M",36.32,12,NA,0.234,"muscle","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU016-LIV-08132021","pumpkinseed",2021-04-28,"U",25.5,10,NA,0.0551948100385248,"liver","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA109-SED-SPILL-07142021","spill",2021-07-14 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA087-SW-SPILL-042621","spill",2021-04-26,NA,NA,NA,NA,2.175,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU056-JBA-08162021","pumpkinseed",2021-07-16,"U",8.8,7,NA,0.065,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU009-JBA-08132021","pumpkinseed",2021-04-28,"U",14.62,8,NA,0.0559419284584548,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA098-SED-RIPP-07072021","ripp",2021-07-07 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU015-JBA-08132021","pumpkinseed",2021-04-28,"U",18.3,10,NA,0.05466689875,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA078-SW-RIPP-042221","ripp",2021-04-22,NA,NA,NA,0.06,2.19,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU026-JBA-08132021","pumpkinseed",2021-04-28,"U",4.45,6,NA,0.0565,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU002-JBA-08132021","pumpkinseed",2021-04-28,"U",12.37,8,NA,0.0544232456356361,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA091-SED-DOWN-06232021","down",2021-06-23 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA069-SW-DOWN-04132021","down",2021-04-13,NA,NA,NA,0.04,2.14,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU014-JBA-08132021","pumpkinseed",2021-04-28,"U",7.5,6,NA,0.0561758972098494,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","MM002-JBA-08132021","margined madtom",2021-04-28,"F",16.4,12,NA,0.0470873164693252,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU064-MU-08162021","pumpkinseed",2021-07-16,"M",55,12,NA,0.22,"muscle","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU001-JBA-08132021","pumpkinseed",2021-04-28,"U",11.81,8,NA,0.0551948100385248,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA113-SED-SPILL-07162021","spill",2021-07-16,NA,NA,NA,NA,NA,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA092-SW-SPILL-042821","spill",2021-04-28,NA,NA,NA,0,2.27,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU060-LIV-08162021","pumpkinseed",2021-07-16,"M",34.45,12,NA,1.34,"liver","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU013-JBA-08132021","pumpkinseed",2021-04-28,"U",8.8,7,NA,0.0532474014781962,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","CC009-JBA-08162021","dace. sp",2021-07-16,"U",10.02,9,NA,0.216,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA040-SED-EXIT-03302021","exit",2021-03-30,NA,NA,NA,NA,0.2,"sediment","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA073-SED-SPILL-04282021","spill",2021-04-28,NA,NA,NA,NA,NA,"sediment","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU030-JBA-08162021","pumpkinseed",2021-07-16,"U",18.28,10,NA,0.07,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","SM002-JBA-08132021","dace. sp",2021-04-28,"U",5.2,8,NA,0.0580075880927446,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","GC015-JBA-08132021","swallowtail shiner",2021-04-28,"U",2.25,5,NA,0.054,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA105-SW-EXIT-06162021","exit",2021-06-16,NA,NA,NA,0,1.3,"water","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA138-SW-SPILL-07162021","spill",2021-07-16,NA,NA,NA,0,2.11,"water","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA012-SW-SPILL-1124-2020","spill",2020-11-24,NA,NA,NA,NA,1.3,"water","AFBC","fall/winter",10,"Other"
"11ClPF3OUdS","PU046-JBA-08162021","pumpkinseed",2021-07-16,"U",3.24,6,NA,0.069,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","CS001-JBA-08132021","darter sp.",2021-04-28,"U",2.5,6,NA,0.0558024803609265,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA055-SED-DOWN-04132021","down",2021-04-13 12:00:00,NA,NA,NA,NA,0.195,"sediment","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA097-SW-SPILL-06142021","spill",2021-06-14,NA,NA,NA,0,2.035,"water","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA003-SW-RIPP-11172020","ripp",2020-11-17,NA,NA,NA,0,1.3,"water","AFBC","fall/winter",10,"Other"
"11ClPF3OUdS","PU016-MU-08132021","pumpkinseed",2021-04-28,"U",25.5,10,NA,0.05955068509366,"muscle","AFBC","spring",10,"Other"
"11ClPF3OUdS","CC013-JBA-08162021","dace. sp",2021-07-16,"U",14.56,11,NA,0.4685,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA120-SW-DOWN-07072021","down",2021-07-07,NA,NA,NA,0,2.26,"water","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA025-SW-EXIT-12022020","exit",2020-12-02,NA,NA,NA,0.02,1.25,"water","AFBC","fall/winter",10,"Other"
"11ClPF3OUdS","PU034-JBA-08162021","pumpkinseed",2021-07-16,"U",6.99,6,NA,0.0665,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","EMM005-JBA-08132021","eastern mudminnow",2021-04-28,"U",3.9,7,NA,0.0635,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","GC019-JBA-08162021","swallowtail shiner",2021-07-16,"U",1.79,6,NA,0.068,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA070-SED-RIPP-04262021","ripp",2021-04-26 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU027-JBA-08132021","pumpkinseed",2021-04-28,"U",12.95,8,NA,0.0555,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA017-SW-SPILL-11272020","spill",2020-11-27,NA,NA,NA,0,1.3,"water","AFBC","fall/winter",10,"Other"
"11ClPF3OUdS","BRS004-JBA-08132021","darter sp.",2021-04-28,"U",5.85,8,NA,0.0575,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","CS005-JBA-08132021","darter sp.",2021-04-28,"U",3.15,7,NA,0.0725,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA134-SW-RIPP-07142021","ripp",2021-07-14,NA,NA,NA,0,1.35,"water","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA039-SW-DOWN-12152020","down",2020-12-15,NA,NA,NA,0.92,1.25,"water","AFBC","fall/winter",10,"Other"
"11ClPF3OUdS","PU065-JBA-08162021","pumpkinseed",2021-07-16,"U",6.27,7,NA,0.218,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","GC004-JBA-08132021","swallowtail shiner",2021-04-28,"U",2.4,6,NA,0.04955,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA114-SED-RIPP-07162021","ripp",2021-07-16,NA,NA,NA,NA,NA,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA125-SW-DOWN-07092021","down",2021-07-09,NA,NA,NA,0.5,1.35,"water","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU060-MU-08162021","pumpkinseed",2021-07-16,"M",34.45,12,NA,0.2425,"muscle","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU038-JBA-08162021","pumpkinseed",2021-07-16,"U",12.02,8,NA,0.0665,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","CC010-JBA-08162021","dace. sp",2021-07-16,"U",7.6,8,NA,0.473,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA041-SED-SPILL-04022021","spill",2021-04-02,NA,NA,NA,NA,NA,"sediment","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA074-SED-RIPP-04282021","ripp",2021-04-28,NA,NA,NA,NA,NA,"sediment","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU031-JBA-08162021","pumpkinseed",2021-07-16,"U",19.45,9,NA,0.0685,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","SS001-JBA-08132021","dace. sp",2021-04-28,"U",1.75,6,NA,0.0517198961219677,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","GC016-JBA-08132021","swallowtail shiner",2021-04-28,"U",2.45,6,NA,0.0575,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA107-SW-SPILL-06232021","spill",2021-06-23,NA,NA,NA,0.33,2.205,"water","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA139-SW-RIPP-07162021","ripp",2021-07-16,NA,NA,NA,0,2.155,"water","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA013-SW-RIPP-1124-2020","ripp",2020-11-24,NA,NA,NA,NA,1.3,"water","AFBC","fall/winter",10,"Other"
"11ClPF3OUdS","PU047-JBA-08162021","pumpkinseed",2021-07-16,"U",5.78,7,NA,0.073,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","CS002-JBA-08132021","darter sp.",2021-04-28,"U",3,7,NA,0.0581457013977273,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA056-SED-EXIT-04132021","exit",2021-04-13 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA098-SW-RIPP-06142021","ripp",2021-06-14,NA,NA,NA,0,2.155,"water","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA004-SW-DOWN-11172020","down",2020-11-17,NA,NA,NA,0,1.3,"water","AFBC","fall/winter",10,"Other"
"11ClPF3OUdS","PU017-JBA-08132021","pumpkinseed",2021-04-28,"U",6.3,6,NA,0.423711578008675,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","CC014-JBA-08162021","dace. sp",2021-07-16,"U",9.05,10,NA,0.4505,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA121-SW-EXIT-07072021","exit",2021-07-07,NA,NA,NA,0,2.13,"water","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA027-SW-SPILL-12082020","spill",2020-12-08,NA,NA,NA,0,1.3,"water","AFBC","fall/winter",10,"Other"
"11ClPF3OUdS","PU035-JBA-08162021","pumpkinseed",2021-07-16,"U",5.14,6,NA,0.069,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","EMM006-JBA-08162021","eastern mudminnow",2021-07-16,"U",2.62,6,NA,0.24,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","GC020-JBA-08162021","swallowtail shiner",2021-07-16,"U",1.31,5,NA,0.078,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA071-SED-DOWN-04262021","down",2021-04-26 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU028-JBA-08132021","pumpkinseed",2021-04-28,"U",8.55,8,NA,0.0515,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA018-SW-RIPP-11272020","ripp",2020-11-27,NA,NA,NA,0,1.3,"water","AFBC","fall/winter",10,"Other"
"11ClPF3OUdS","BRS005-JBA-08132021","darter sp.",2021-04-28,"U",5.4,8,NA,0.0665,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","CS006-JBA-08132021","darter sp.",2021-04-28,"U",2.6,6,NA,0.067,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA135-SW-DOWN-07142021","down",2021-07-14,NA,NA,NA,0,1.3,"water","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA040-SW-EXIT-12152020","exit",2020-12-15,NA,NA,NA,0.92,1.25,"water","AFBC","fall/winter",10,"Other"
"11ClPF3OUdS","PU066-JBA-08162021","pumpkinseed",2021-07-16,"U",10.21,8,NA,0.427,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","GC005-JBA-08132021","swallowtail shiner",2021-04-28,"U",2.75,6,NA,0.0545,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA115-SED-DOWN-07162021","down",2021-07-16,NA,NA,NA,NA,NA,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA126-SW-EXIT-07092021","exit",2021-07-09,NA,NA,NA,0.5,1.3,"water","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU061-LIV-08162021","pumpkinseed",2021-07-16,"M",36.32,12,NA,1.235,"liver","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU039-JBA-08162021","pumpkinseed",2021-07-16,"U",14.64,8,NA,0.066,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","CC011-JBA-08162021","dace. sp",2021-07-16,"U",4.16,8,NA,0.4215,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA042-SED-RIPP-04022021","ripp",2021-04-02,NA,NA,NA,NA,NA,"sediment","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA075-SED-DOWN-04282021","down",2021-04-28,NA,NA,NA,NA,NA,"sediment","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU032-JBA-08162021","pumpkinseed",2021-07-16,"U",6.29,5,NA,0.0655,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","SS002-JBA-08132021","dace. sp",2021-04-28,"U",3,6,NA,0.0605,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","GC017-JBA-08132021","swallowtail shiner",2021-04-28,"U",2.05,6,NA,0.055,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA108-SW-RIPP-06232021","ripp",2021-06-23,NA,NA,NA,0.33,2.145,"water","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA140-SW-DOWN-07162021","down",2021-07-16,NA,NA,NA,0,2.2,"water","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA014-SW-DOWN-1124-2020","down",2020-11-24,NA,NA,NA,NA,1.25,"water","AFBC","fall/winter",10,"Other"
"11ClPF3OUdS","PU048-JBA-08162021","pumpkinseed",2021-07-16,"U",4.38,6,NA,0.0665,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","CS003-JBA-08132021","darter sp.",2021-04-28,"U",3.25,8,NA,0.0572656449493711,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA057-SED-SPILL-04152021","spill",2021-04-15 12:00:00,NA,NA,NA,NA,0.195,"sediment","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA099-SW-DOWN-06142021","down",2021-06-14,NA,NA,NA,0,2.02,"water","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA005-SW-EXIT-11172020","exit",2020-11-17,NA,NA,NA,0,1.25,"water","AFBC","fall/winter",10,"Other"
"11ClPF3OUdS","PU018-JBA-08132021","pumpkinseed",2021-04-28,"U",13.9,8,NA,0.0563526621475771,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","CC015-JBA-08162021","dace. sp",2021-07-16,"U",2.03,6,NA,0.4455,"whole body","AFBC","summer",10,"Other"
